DepotID,DepotName,Address,PostalCode,Region,City,Latitude,Longitude,DwellTimeInHour,,,
2510,Canlubang,"Zuellig Pharma Corporation Canlubang Warehouse, 63GH+5R3, Cabuyao, Laguna, Philippines",4025,,Cabuyao,14.22680606,121.0787214,0,,C� delivery route NG00 SG00,
2513,Cebu,"F.E. Zuellig Avenue, Mandaue City, Cebu, Philippines",6014,VIS,Mandaue,10.31595846,123.9334502,0,,Ko c� delivery route,
2515,Davao,"Pentavium Whse. No. 14, Davao-Agusan Highway Brgy. Panacan, Bunawan District, Davao City",8000,MIN,Davao,7.155449096,125.6590961,0,,,
2522,Taguig,"Zuellig Pharma Corporation Taguig DC 1, 1632 A.B Cruz, Taguig, Metro Manila, Philippines",1630,GMA,Taguig,14.54400658,121.0849574,0,,C� delivery route NG00 SG00,File Taguig v� TDC ??u c?a thg n�y
2501,Sta Rosa,"Mdi project, 835W+VW9, Santa Rosa, Laguna, Philippines",4026,LUZ,Santa Rosa,14.30953239,121.0973984,0,,DEPOT ID = 2501 ???,
2525,Cebu 2,"Tingub Mandaue City, B.Suico, Mandaue City, Cebu, Philippines",6014,VIS,Mandaue,10.35127387,123.9302696,0,,C�ch 3km,
2526,Taguig 3,"Zuellig Pharma Corporation Taguig DC 3, 890 1602 H.R, Capistrano St, Pasig, Metro Manila, Philippines",1602,GMA,Pasig,14.54658205,121.0834125,0,,Juan,
25P1,NG,"54 Don Jose, Don Antonio Heights, Quezon City, Metro Manila, Philippines",1127,GMA,Quezon,14.68423009,121.0773661,0,,??a ch? v� to? ?? c�ch nhau 11km ,
25P2,SG,"Km14. West Service Road Quantum Foods Compound Brgy. Merville, Paranaque City 1709",1709,GMA,Paranaque,14.49285196,121.0334208,0,,"C� delivery route - full SG00
T�n ??a ch? v� to? ?? c�ch nhau 3km",
25P3,CL,"South Bingo, Jose Abad Santos Avenue, San Fernando, Pampanga, Philippines",2000,LUZ,San Fernando,15.03388224,120.6791189,0,,Juan,
25P4,SL,"Maharlika Highway, Purok 1, Brgy. San Nicolas, San Pablo City, Laguna 4000",4000,LUZ,San Pablo,14.0641876,121.296778,0,,Juan,
25P5,PN,"Quintin Compound, Brgy. Nancayasan, Urdaneta, Pangasinan 2428",2428,,Urdaneta,15.95970278,120.5756334,0,,Juan,
25P6,CY,"Cabatwan Road, san Fermin, Cauayan City, Isabela 3305",3305,LUZ,Cauayan,16.95438231,121.7599821,0,,C�ch nhau 8km,
25P7,BC,"San VIcente, Canaman, Camarines Sur, Philippines Zone 5",4402,,Canaman,13.64564769,123.1867409,0,,C�ch nhau 2km,
