ShipToID,Latitude,Longitude,NumDeliveries,NumPlannedDeliveryDates,PeriodStart,PeriodEnd,TotalNetWeightKg,AvgDailyDemand,WeightInUOM
106145,14.4259328,121.026074,2,1,2023-05-16,2023-05-16,102.54,102.54,Kg
70017011,14.5765022,121.085296,6,1,2023-05-17,2023-05-17,322.068,322.068,Kg
70017030,14.65087107,121.1046172,1,1,2023-05-18,2023-05-18,0.588,0.588,Kg
70017039,14.59248731,121.0263236,1,1,2023-05-18,2023-05-18,31.364,31.364,Kg
70017068,14.61646338,121.0003123,1,1,2023-05-18,2023-05-18,3.6,3.6,Kg
70017084,14.62399369,121.0553598,1,1,2023-05-17,2023-05-17,1.384,1.384,Kg
70017089,14.70644244,121.0692568,1,1,2023-05-17,2023-05-17,11.37,11.37,Kg
70017102,14.58444262,121.1757258,1,1,2023-05-17,2023-05-17,15.476,15.476,Kg
70017116,14.67744353,121.0825134,1,1,2023-05-17,2023-05-17,3.92,3.92,Kg
70017124,14.70719287,120.9463142,1,1,2023-05-16,2023-05-16,11.7,11.7,Kg
70017127,14.46564966,121.0177827,1,1,2023-05-17,2023-05-17,10.976,10.976,Kg
70017131,14.58262771,121.0547967,1,1,2023-05-17,2023-05-17,10.566,10.566,Kg
70017148,14.61491856,121.0617636,1,1,2023-05-17,2023-05-17,0.248,0.248,Kg
70017168,14.5484264,121.0637142,1,1,2023-05-18,2023-05-18,1.88,1.88,Kg
70017177,14.60082726,120.9759003,1,1,2023-05-17,2023-05-17,0.124,0.124,Kg
70017185,14.7287482,121.1440489,1,1,2023-05-17,2023-05-17,12.6,12.6,Kg
70017194,14.62745309,121.0345231,1,1,2023-05-17,2023-05-17,8.132,8.132,Kg
70017203,14.57377505,121.0161974,1,1,2023-05-17,2023-05-17,0.422,0.422,Kg
70017222,14.56560657,121.0358869,1,1,2023-05-17,2023-05-17,3.03,3.03,Kg
70017245,14.75602344,121.0431592,1,1,2023-05-17,2023-05-17,18.328,18.328,Kg
70017248,14.62102266,121.1684666,1,1,2023-05-18,2023-05-18,0.35,0.35,Kg
70017263,14.58775938,121.1753616,1,1,2023-05-17,2023-05-17,19.132,19.132,Kg
70017289,14.06960255,121.3246927,1,1,2023-05-17,2023-05-17,0.518,0.518,Kg
70017292,14.39828524,120.976643,1,1,2023-05-18,2023-05-18,16.264,16.264,Kg
70017302,14.33971577,121.0838944,1,1,2023-04-26,2023-04-26,23.4,23.4,Kg
70017321,14.48663847,121.0273433,1,1,2023-05-17,2023-05-17,2.838,2.838,Kg
70017337,14.58908242,121.0690202,1,1,2023-05-17,2023-05-17,2.592,2.592,Kg
70017339,14.63593241,121.1012584,1,1,2023-05-18,2023-05-18,1.198,1.198,Kg
70017364,14.66977558,120.9705261,1,1,2023-05-18,2023-05-18,25.092,25.092,Kg
70017371,14.57842488,120.9870255,2,1,2023-05-18,2023-05-18,8.67,8.67,Kg
70017396,14.46192007,120.9918937,1,1,2023-05-18,2023-05-18,0.98,0.98,Kg
