DepotID,ShipToID,Latitude,Longitude,NumDeliveries,NumPlannedDeliveryDates,PeriodStart,PeriodEnd,TotalNetWeightKg,Demand,WeightInUOM,AssignedDepotID
2513,70012106,10.29479038,123.8991753,8,2,1/30/2023,2/6/2023,181.116,90.558,Kg,2501
2513,70012117,10.29553675,123.896379,5,2,1/26/2023,1/30/2023,33.675,16.8375,Kg,2501
2513,70012153,11.05126849,124.005522,5,1,1/23/2023,1/23/2023,6.414,6.414,Kg,2501
2513,70012290,10.32096029,123.8856329,7,3,1/26/2023,2/9/2023,774.568,258.1893333,Kg,2501
2513,70012430,10.31486357,123.8920974,16,3,1/25/2023,1/27/2023,430.654,143.5513333,Kg,2501
2513,70012591,10.30977485,123.8894147,2,2,1/23/2023,1/24/2023,9.515,4.7575,Kg,2501
2513,70012665,10.31068309,123.8920937,1,1,1/23/2023,1/23/2023,0.622,0.622,Kg,2501
2513,70012714,10.31040063,123.8959001,13,1,1/26/2023,1/26/2023,58.794,58.794,Kg,2501
2513,70012890,10.30956454,123.8936955,9,3,1/23/2023,1/25/2023,142.108,47.36933333,Kg,2501
2513,70012891,10.3410758,123.9118636,8,2,1/24/2023,1/25/2023,170.463,85.2315,Kg,2501
2513,70012907,10.32414991,123.9257324,1,1,1/25/2023,1/25/2023,282.24,282.24,Kg,2501
2513,70012918,10.31566949,123.9241934,2,1,1/25/2023,1/25/2023,25.28,25.28,Kg,2501
2513,70012920,10.3355742,123.9391432,5,1,1/25/2023,1/25/2023,146.896,146.896,Kg,2501
2513,70012922,10.36215255,123.9487583,1,1,1/25/2023,1/25/2023,20.736,20.736,Kg,2501
2513,70012923,10.33551788,123.9392186,1,1,1/25/2023,1/25/2023,7.224,7.224,Kg,2501
2513,70012924,10.3098377,123.9182846,3,1,1/25/2023,1/25/2023,62.184,62.184,Kg,2501
2513,70012935,10.31788734,123.9249415,4,1,1/25/2023,1/25/2023,148.452,148.452,Kg,2501
2513,70082236,11.0553226,124.0140628,2,1,1/30/2023,1/30/2023,31.2,31.2,Kg,2501
2513,70082252,10.31248723,123.955422,4,1,1/25/2023,1/25/2023,57.774,57.774,Kg,2501
2513,70082254,10.34112538,123.9483442,2,1,1/25/2023,1/25/2023,115.728,115.728,Kg,2501
2513,70086569,10.30050516,123.9638132,4,1,1/25/2023,1/25/2023,125.699,125.699,Kg,2501
2513,70089387,10.25803981,123.9486987,3,1,1/25/2023,1/25/2023,67.872,67.872,Kg,2501
2513,70089406,10.3394575,123.9246318,3,2,1/18/2023,1/25/2023,11.34,5.67,Kg,2501
2513,70089459,10.29431136,123.8994393,4,2,1/30/2023,2/6/2023,18.726,9.363,Kg,2501
2513,70089614,10.30702102,123.8995392,1,1,1/27/2023,1/27/2023,1.6,1.6,Kg,2501
2513,70090248,10.32123824,123.9298888,1,1,1/27/2023,1/27/2023,0.432,0.432,Kg,2501
2513,70127594,10.33189179,123.9356738,27,2,2/2/2023,2/9/2023,1569.661,784.8305,Kg,2501
2513,70130947,10.36966191,123.9183403,7,3,1/23/2023,1/26/2023,150.646,50.21533333,Kg,2501
2513,70135374,10.32330597,123.9310662,1,1,1/25/2023,1/25/2023,0.132,0.132,Kg,2501
2513,70278437,10.31486661,123.8914185,1,1,1/26/2023,1/26/2023,12.132,12.132,Kg,2501
2513,70278438,10.28628987,123.8612595,1,1,1/23/2023,1/23/2023,0.336,0.336,Kg,2501
2513,70278442,10.34644814,123.8936381,1,1,1/24/2023,1/24/2023,4.812,4.812,Kg,2501
2513,70382288,10.31275246,123.8947265,10,3,1/24/2023,1/26/2023,129.629,43.20966667,Kg,2501
2513,70383119,10.31388628,123.89243,1,1,1/20/2023,1/20/2023,0.613,0.613,Kg,2501
2513,70385954,10.35657953,123.9500282,1,1,1/25/2023,1/25/2023,33.408,33.408,Kg,2501
2513,70436633,10.29250211,123.902625,5,3,1/27/2023,2/6/2023,1678.331,559.4436667,Kg,2501
2513,70438306,10.31660753,123.9009904,6,3,1/25/2023,1/27/2023,6.67,2.223333333,Kg,2501
2513,70462646,10.30995885,123.8980888,6,2,1/27/2023,1/30/2023,238.882,119.441,Kg,2501
2513,70482687,10.28445441,123.9658781,4,1,1/25/2023,1/25/2023,173.067,173.067,Kg,2501
2513,70494719,11.05179254,124.0054156,6,1,1/23/2023,1/23/2023,6.497,6.497,Kg,2501
2513,70522201,10.3062942,123.8944522,1,1,1/27/2023,1/27/2023,0.159,0.159,Kg,2501
2513,70559301,10.33929534,123.925209,6,1,1/23/2023,1/23/2023,25.942,25.942,Kg,2501
